"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17","TFT_0_Su16","TFT_Tb_Su16","TFT_0_Su17","TFT_Tb_Su17","TFT_0_Ro16","TFT_Tb_Ro16","TFT_0_Ro17","TFT_Tb_Ro17","TRT_0_Su16","TRT_Tb_Su16","TRT_0_Su17","TRT_Tb_Su17","TRT_0_Ro16","TRT_Tb_Ro16","TRT_0_Ro17","TRT_Tb_Ro17","PC1","PC2","PC3","PC4"
"PI_298023_LSP_AGL",45.7,41.3,47,46.7,49,38,47.7,41.5,553.3,1503.7,545.7,1535.7,672.8,1793.9,558.5,1581.5,904.4,2286.8,772.5,2002.5,998.7,2483.4,806.5,2077.5,10.0957,-0.1796,1.688,-1.919
"PI_298121_LSP_AGL",45,45.3,50.3,48,51,36,45.3,40,611.5,1381.9,578.6,1348.6,672.8,1505.3,635.5,1486.5,845.1,1808.1,776,1678,1049.3,2219.3,712.1,1540.1,6.6655,2.1553,3.0858,0.3932
"PI_298122_LSP_AGL",48.3,48,53,54.3,47.7,34,44.7,35.5,665.2,2010.7,675.3,2187.3,740,2184,683.4,2126.4,843.3,2395.8,686.6,1946.6,962.9,2695.7,687.5,1982.5,-4.0846,-0.6014,2.8762,0.3188
"PI_298357_LSP_AGL",46,42.7,47,45.7,48,35.7,47.7,42.3,553.3,1345.3,530.3,1330.3,692.9,1650.5,574.6,1458.6,904.4,2056.4,807.5,1882.5,998.7,2233.5,718.5,1654.5,15.1246,-2.7746,1.4885,0.1015
"PI_298631_LSP_AGL",50,51,54.7,58.3,47.3,NA,44.3,35,692.9,2120.9,732.6,2307.6,781.7,2276.9,763.5,2354.5,843.6,2373.6,641.1,1761.1,956.2,2665,0,0,0.6107,0.8832,-1.79,1.8469
"PI_298644_LSP_AGL",53.7,51.3,57.7,59.3,43.3,NA,41,NA,752.3,2331.8,751.9,2407.9,854.2,2537.8,749.5,2345.5,766.8,2205.9,0,0,876.4,2486.8,0,0,4.1292,-3.2103,0.9629,1.3964
"PI_298645_AGL",48,47.3,53,54,46,34,42.3,37,665.2,2229.1,675.3,2397.3,740,2412,677.5,2354.5,806.8,2531.1,724.7,2241.7,955.6,2920.2,670,2132,1.9102,0.5787,0.8579,2.4809
"PI_298921_AGL",48.7,46,50.7,48.3,47.3,35,46.3,40.7,611.5,3322.3,585,3357,740,3872,628.7,3508.7,881.6,4420.7,776.8,3933.8,962.9,4721.3,729.6,3689.6,-0.0266,-2.5941,-0.0506,-0.375
"PI_298922_LSP_AGL",48.7,46.3,53,52.3,48,36,44,38,662,2353,637,2477,725.3,2538.8,642.9,2418.9,843.3,2845.8,743.2,2491.2,962.9,3194.9,708.2,2436.2,-3.7343,-0.682,0.287,4.0472
"PI_298923_LSP_AGL",46,43.3,48.3,47,49.3,36.3,47.3,41,582.3,1800.3,588.6,1920.6,692.9,2079.9,594.3,1924.3,878.9,2514.5,792.2,2304.2,1013.6,2838.6,718.1,2086.1,15.3021,3.2429,-1.4772,2.9969
"PI_299116_LSP_AGL",46,44,48,47,47.7,37.3,46.7,39,574.4,1825.1,568.3,1933.3,692.9,2201.5,584,1978,884.1,2665.4,748.2,2308.2,982.2,2887.8,753.2,2311.2,-12.2278,-7.6627,-1.802,2.9892
"PI_299120_LSP_AGL",45.7,44.7,48,47.7,48.3,35.3,45,38.7,582.3,1464.3,568.3,1478.3,672.8,1649.6,598.1,1543.1,864.2,2023.4,732,1746,998.7,2292.3,719.9,1691.9,-10.2208,2.677,-1.7474,2.5483
"PI_299121_LSP_AGL",45.3,42,47.3,46.3,49.3,37.7,47.3,42,553.3,1734.7,552.1,1810.1,672.8,2052.9,560.7,1814.7,884.1,2566.7,792.2,2346.2,998.7,2826.4,753.8,2197.8,-5.3389,-0.3303,-0.6985,-0.0674
"PI_299126_LSP_AGL",44,40.3,46.7,44.3,48.3,39.3,45.7,41.7,533,2606.6,515.1,2592.1,665.3,3166.5,545.2,2753.2,864.9,3845.7,778.8,3592.8,999.6,4312,767.2,3458.2,-3.775,3.3522,0.332,0.3052
"PI_299163_LSP_AGL",49.3,46.3,50,51.5,48,NA,48.7,39,622.1,2689.3,620.4,2804.4,762.6,3091.4,642.9,2788.9,913.4,3579,759.7,2943.7,956.2,3682.6,0,0,6.1057,-0.0902,0.5912,1.6027
"PI_299164_LSP_AGL",44.7,46,49.7,48,52,35,47.3,39,605.7,2392.8,594.4,2444.4,665.3,2533.8,656.8,2632.8,898.1,3216.5,756.3,2756.3,1049.3,3675.3,712.1,2584.1,-4.8229,-4.3809,-0.5723,3.2984
"PI_299165_AGL",47.3,46.7,50,49.7,48,35.5,46.7,38.5,616.1,3091.4,596.3,3149.3,727.6,3515.6,642.9,3306.9,878.1,4022.4,765.5,3525.5,970.4,4316,708.2,3300.2,-3.1556,-1.4388,1.85,-0.0797
"PI_299177_LSP_AGL",46.7,46,48.7,48.3,50.7,36,47.3,NA,582.3,2612.3,594.4,2814.4,678.2,2916.7,642.9,2936.9,895.4,3679.4,0,0,1026,4111.5,729.6,3023.6,0.9864,0.3932,3.0567,-0.2878
"PI_299237_LSP_AGL",45.7,45.3,49,48,47,33.3,46.7,41,595.1,1708.1,585,1773,684.5,1949.9,635.5,1893.5,878.9,2373.5,793.5,2179.5,963.7,2528.8,657.7,1779.7,4.5812,0.4605,-1.1796,-1.2147
"PI_299289_AGL",49,48.3,52,50,47.7,33,47.7,42,660.4,1848.4,607.8,1785.8,774.3,2080.5,697.4,1977.4,896.4,2322,765.5,2005.5,962.9,2455.7,667.7,1755.7,8.6127,1.3117,1.5192,-1.2806
"PI_299312_AGL",49,49.7,54,55.7,48.3,NA,45.3,35,692.9,2364.5,701.4,2505.4,762.6,2464.1,719.4,2482.4,860.7,2691.5,688.1,2123.1,978.8,3012.3,0,0,14.5886,2.2097,-1.7608,3.2182
"PI_299345_AGL",49.7,47,54.3,53,45.7,34.5,42,NA,692.9,3322.1,664.8,3352.8,762.6,3431.7,677.5,3290.5,790.8,3420,0,0,923.7,3918.3,690.7,3035.7,5.0182,-0.4813,1.3956,3.2899
"PI_299351_LSP_AGL",45,45.3,49,49.7,47.7,34.7,41.3,38,595.1,1869.1,605.7,2049.7,672.8,2082.5,635.5,2078.5,781,2309.8,728.3,2172.3,982.9,2811.7,696.4,2061.4,-1.3142,2.1297,-5.3106,-3.1861
"PI_299366_LSP_AGL",50,44.3,52.7,47.3,46,37,42.3,42,649.8,4092.6,568.3,3823.3,781.7,4733.9,598.1,3958.1,806.8,4702.6,811.8,4810.8,940.3,5363,753,4401,-4.2062,0.2167,0.7922,3.3442
"PI_299375_LSP_AGL",46,45.3,50,50.3,52.7,NA,48.3,NA,616.1,2688.1,617.1,2879.1,692.9,2912.1,635.5,2855.5,913.4,3657.4,0,0,1062.2,4157.4,0,0,-2.2387,0.8168,-2.7782,2.9962
"PI_300250_LSP_AGL",45.7,45.7,50,48,46,35.3,41,37,601.5,2702.7,578.6,2818.6,672.8,3055.6,621.5,2997.5,783.2,3378.8,712.2,3144.2,941.3,3903.7,712.1,3088.1,1.3642,0.9133,1.2683,1.811
"PI_302398_LSP_AGL",44.7,42.3,45.7,45.3,46.7,36.3,45.3,38,514.8,1736.2,530.3,1842.3,653.6,2133.2,560.7,1946.7,863.5,2675.9,698.3,2256.3,960.5,2892.2,718.5,2230.5,-19.2535,1.7749,-1.9819,0.7709
