"Name","Alanine_Ro17","Arginine_Ro17","Aspartic.acid_Ro17","Cysteine_Ro17","Glutamic.acid_Ro17","Glycine_Ro17","Histidine_Ro17","Isoleucine_Ro17","Leucine_Ro17","Lysine_Ro17","Methionine_Ro17","Phenylalanine_Ro17","Proline_Ro17","Protein_Ro17","Serine_Ro17","Threonine_Ro17","Tryptophan_Ro17","Tyrosine_Ro17","Valine_Ro17"
"PI_374121_AGL",1.1008,2.0589,3.1697,0.2577,4.4327,1.0948,0.7689,1.1987,2.0058,1.8375,0.2547,1.3956,1.1644,27.8993,1.3623,1.1562,0.2213,0.8344,1.3641
"PI_379368_LSP_AGL",1.0936,2.1115,3.1808,0.2551,4.4884,1.0882,0.7883,1.2049,2.018,1.8418,0.2543,1.4023,1.1729,28.3157,1.3657,1.161,0.2184,0.8502,1.37
"PI_383682_LSP_AGL",1.2649,2.3696,3.668,0.2959,4.9282,1.2097,0.8409,1.3105,2.2129,2.0112,0.2713,1.5264,1.2347,31.002,1.5031,1.2851,0.2467,0.9201,1.514
"PI_420818_AGL",1.0783,2.1112,3.1089,0.2561,4.3503,1.0672,0.8978,1.1772,1.9608,1.7685,0.2429,1.3704,1.1683,28.0995,1.3361,1.1207,0.2162,0.8362,1.3298
"PI_420924_LSP_AGL",1.1806,2.3999,3.5162,0.2746,4.9642,1.1794,0.786,1.3072,2.1936,1.9847,0.2653,1.5309,1.2358,30.384,1.5036,1.2338,0.2301,0.9228,1.4902
"PI_420925_LSP_AGL",1.1405,2.2334,3.3897,0.2765,4.6292,1.1317,0.6977,1.2298,2.096,1.8715,0.2571,1.4545,1.1755,28.8025,1.4351,1.182,0.2229,0.8704,1.4121
"PI_420929_LSP_AGL",1.1579,2.3158,3.4287,0.2748,4.7848,1.1483,0.8221,1.2774,2.1376,1.9452,0.2622,1.4955,1.2093,29.8556,1.4732,1.1997,0.2228,0.8995,1.4536
"PI_426202_LSP_AGL",1.1381,2.1574,3.356,0.2706,4.5413,1.099,0.8308,1.1897,2.0407,1.874,0.2716,1.4033,1.1654,28.6569,1.3856,1.1668,0.22,0.8573,1.378
"PI_426778_LSP_AGL",1.1165,1.9472,3.1564,0.2505,4.3597,1.0777,0.7194,1.1842,1.9803,1.8422,0.2629,1.3732,1.1424,27.58,1.3456,1.1688,0.2122,0.8157,1.3383
"PI_426784_LSP_AGL",1.0467,2.04,3.0424,0.2388,4.248,1.0276,0.9754,1.1394,1.9289,1.7488,0.2256,1.3435,1.1092,27.6947,1.3101,1.0714,0.2029,0.7994,1.3001
