"Name","Alanine_Su17","Arginine_Su17","Aspartic.acid_Su17","Cysteine_Su17","Glutamic.acid_Su17","Glycine_Su17","Histidine_Su17","Isoleucine_Su17","Leucine_Su17","Lysine_Su17","Methionine_Su17","Phenylalanine_Su17","Proline_Su17","Protein_Su17","Serine_Su17","Threonine_Su17","Tryptophan_Su17","Tyrosine_Su17","Valine_Su17"
"PI_297787_LSP_AGL",1.1992,2.1794,3.4113,0.2749,4.6117,1.1344,0.8723,1.2475,2.0911,1.9028,0.2782,1.4324,1.2011,29.7589,1.425,1.191,0.2319,0.8635,1.4306
"PI_298023_LSP_AGL",1.1945,2.3379,3.3988,0.2826,4.6754,1.1708,1.1027,1.2595,2.1195,1.8972,0.2636,1.4712,1.2234,30.3908,1.4594,1.1402,0.2389,0.9065,1.4492
"PI_298121_LSP_AGL",1.2191,2.3328,3.4795,0.2675,4.8083,1.1819,1.0205,1.2797,2.163,1.9339,0.2706,1.4943,1.2394,30.5337,1.4574,1.1825,0.2339,0.8893,1.47
"PI_298122_LSP_AGL",1.1089,2.0966,3.0961,0.2479,4.4136,1.0778,0.8064,1.2054,2.0076,1.8065,0.2402,1.3944,1.1488,28.1412,1.3668,1.0425,0.2165,0.8137,1.3896
"PI_298357_LSP_AGL",1.2084,2.3071,3.4486,0.2865,4.6937,1.1655,0.9382,1.2558,2.1239,1.8983,0.2652,1.4727,1.2082,29.9985,1.4446,1.1923,0.2367,0.8798,1.4484
"PI_298631_LSP_AGL",1.1661,2.2278,3.2206,0.2498,4.5922,1.1317,0.9972,1.2293,2.0756,1.856,0.258,1.4342,1.2213,29.4723,1.404,1.074,0.2283,0.8544,1.4148
"PI_298644_LSP_AGL",1.1198,2.1314,3.1625,0.2528,4.4934,1.0999,0.7701,1.2243,2.0405,1.8,0.2439,1.4137,1.1592,28.1156,1.3765,1.0591,0.2186,0.8176,1.4049
"PI_298645_AGL",1.17,2.2175,3.3257,0.2583,4.6418,1.1378,1.0002,1.2522,2.0939,1.8684,0.2599,1.4452,1.221,29.8393,1.4199,1.0753,0.2294,0.8622,1.4305
"PI_298921_AGL",1.1144,2.1194,3.1174,0.26,4.4887,1.0875,0.7392,1.2139,2.0151,1.8343,0.2525,1.4179,1.1698,27.8163,1.3763,1.0716,0.2168,0.8434,1.3827
"PI_298922_LSP_AGL",1.1331,2.137,3.2062,0.2498,4.4817,1.0914,0.9448,1.2016,2.0218,1.8209,0.2439,1.4084,1.1821,28.8196,1.3492,1.0926,0.2153,0.8257,1.3652
"PI_298923_LSP_AGL",1.2765,2.6319,3.6469,0.2763,5.0896,1.2323,1.2777,1.3399,2.274,1.9982,0.2662,1.5717,1.3129,33.104,1.541,1.2024,0.2514,0.9477,1.5459
"PI_299116_LSP_AGL",1.012,1.6976,2.694,0.2206,3.8116,0.977,0.6865,1.0507,1.7658,1.6247,0.2292,1.2324,1.0619,24.5985,1.1772,0.9977,0.1924,0.712,1.2001
"PI_299120_LSP_AGL",1.1368,2.1444,3.2143,0.237,4.5176,1.0669,0.9086,1.2212,2.0359,1.8432,0.244,1.4165,1.1968,28.7143,1.3771,1.0752,0.2107,0.8103,1.3797
"PI_299121_LSP_AGL",1.1159,2.1052,3.102,0.2459,4.3778,1.0453,0.9473,1.1937,1.9841,1.801,0.2356,1.3904,1.1706,28.3653,1.3509,1.0677,0.2112,0.8002,1.3483
