"Name","Alanine_Su16","Arginine_Su16","Aspartic.acid_Su16","Cysteine_Su16","Glutamic.acid_Su16","Glycine_Su16","Histidine_Su16","Isoleucine_Su16","Leucine_Su16","Lysine_Su16","Methionine_Su16","Phenylalanine_Su16","Proline_Su16","Protein_Su16","Serine_Su16","Threonine_Su16","Tryptophan_Su16","Tyrosine_Su16","Valine_Su16"
"PI_472629_LSP_AGL",1.1576,2.0453,3.3436,0.2527,4.5944,1.1289,1.0506,1.2213,2.0865,1.9128,0.2506,1.4023,1.2111,29.9957,1.4256,1.0038,0.2296,0.8493,1.3839
"PI_477921_LSP_AGL",1.2929,2.2979,3.636,0.2627,5.0165,1.248,1.1355,1.3123,2.2593,2.0256,0.2689,1.5178,1.3032,32.1894,1.5242,1.0954,0.2513,0.9225,1.4944
"PI_490288_LSP_AGL",1.1434,2.1287,3.3844,0.2316,4.7736,1.162,0.9882,1.2493,2.1315,1.937,0.2448,1.4391,1.2014,29.7923,1.4634,1.0084,0.2217,0.8296,1.4253
"PI_490289_LSP_AGL",1.1379,2.0254,3.2442,0.2168,4.7031,1.113,0.9224,1.2412,2.1,1.9098,0.2326,1.4208,1.2153,29.5707,1.4214,0.9904,0.2115,0.8002,1.3885
"PI_508090_AGL",1.1608,1.9349,3.2592,0.2485,4.5984,1.1501,0.867,1.2135,2.076,1.9366,0.2587,1.4019,1.1957,28.9438,1.414,1.0413,0.2227,0.8434,1.3686
"PI_518731_LSP_AGL",1.1473,1.9007,3.2673,0.2524,4.5182,1.0969,0.9133,1.1925,2.0284,1.878,0.2603,1.3662,1.1668,28.7147,1.3801,0.9791,0.22,0.8158,1.3442
"PI_518733_LSP_AGL",1.1954,2.2421,3.5143,0.2551,4.9465,1.1898,1.0611,1.3021,2.216,2.0208,0.2545,1.5071,1.2463,31.2538,1.5193,1.0698,0.2318,0.8929,1.4722
"PI_518734_LSP_AGL",1.2727,2.2463,3.5796,0.2646,4.9758,1.2197,1.111,1.3294,2.2574,2.0522,0.2482,1.5256,1.2529,32.0284,1.5432,1.0958,0.2478,0.9268,1.515
"PI_533688_LSP_AGL",1.2682,2.3622,3.7263,0.2681,5.1469,1.2495,1.1495,1.337,2.2855,2.0511,0.2625,1.5327,1.3197,32.9843,1.5602,1.0877,0.2462,0.9356,1.5035
"PI_533693_LSP_AGL",1.1241,2.1268,3.3324,0.231,4.7475,1.1447,1.0345,1.2422,2.1113,1.9202,0.2399,1.43,1.1956,29.8955,1.4445,0.9914,0.22,0.8304,1.4088
"PI_612875_AGL",1.1271,2.0354,3.3899,0.2498,4.6491,1.1362,1.1338,1.2175,2.0801,1.8961,0.2417,1.3957,1.1805,29.9314,1.4213,0.9965,0.2249,0.8375,1.3736
"PI_643451_AGL",1.1421,2.1388,3.4489,0.2308,4.8116,1.143,1.174,1.2567,2.1452,1.9181,0.2335,1.4356,1.2278,30.7039,1.4431,0.9585,0.2245,0.8183,1.4122
"PI_643452_AGL",1.1668,2.1438,3.4184,0.2318,4.7482,1.1498,1.2222,1.2476,2.1312,1.8995,0.2289,1.4284,1.2359,30.8558,1.435,0.959,0.2275,0.8148,1.4036
"Shasta_AGL",1.296,2.233,3.6013,0.2834,4.7936,1.1833,1.1819,1.2942,2.1963,1.9457,0.2532,1.4849,1.2907,32.1532,1.5003,1.0589,0.2499,0.9027,1.4387
"W6_27754_LSP_AGL",1.1172,1.9251,3.2517,0.2498,4.4628,1.1047,0.9502,1.1891,2.0156,1.8639,0.2454,1.3634,1.1498,28.6206,1.3903,0.9941,0.2184,0.8296,1.3386
"W6_27760_LSP_AGL",1.1644,1.9388,3.2564,0.2472,4.5392,1.1495,0.9618,1.2041,2.0625,1.8919,0.2494,1.3868,1.1916,28.9143,1.392,1.0088,0.2238,0.815,1.3643
"W6_27763_LSP_AGL",1.1461,2.1577,3.4824,0.2584,4.8408,1.151,0.9463,1.2831,2.1601,1.978,0.2497,1.4699,1.212,30.2933,1.4931,1.061,0.222,0.8594,1.4356
"W6_27766_LSP_AGL",1.1039,2.0832,3.2711,0.2346,4.6311,1.1101,0.9967,1.2098,2.0744,1.9077,0.2425,1.4126,1.1982,29.214,1.4032,1.0433,0.2091,0.8316,1.3706
"W6_27767_LSP_AGL",1.1128,1.9663,3.2729,0.2316,4.5642,1.1042,1.0771,1.2056,2.0479,1.8701,0.24,1.3761,1.1755,29.081,1.3897,0.9845,0.214,0.8167,1.3499
