"Name","BLUPs_Protein"
"PI_320936_LSP_AGL",30.1520544307104
"PI_320937_LSP_AGL",30.5616648326622
"PI_320941_LSP_AGL",29.3486785170086
"PI_320945_LSP_AGL",29.1793717619431
"PI_320946_LSP_AGL",28.158565236746
"PI_320952_LSP_AGL",31.2091379688
"PI_320953_LSP_AGL",29.7178034358948
"PI_320954_LSP_AGL",29.5302740049796
"PI_329157_LSP_AGL",30.8117110879994
"PI_329167_LSP_AGL",31.6381283758992
"PI_339266_LSP_AGL",29.8527690743475
"PI_339283_LSP_AGL",28.796295764433
"PI_339285_AGL",29.9573285157992
"PI_339289_LSP_AGL",29.5411318580264
"PI_339292_LSP_AGL",31.4549967963149
"PI_339296_AGL",28.7028256418875
"PI_343026_LSP_AGL",30.2543833829703
"PI_345627_LSP_AGL",30.3082938858883
"PI_358602_LSP_AGL",29.8349251608133
"PI_368647_LSP_AGL",29.7582678766096
"PI_368651_LSP_AGL",29.6154323989332
"PI_370481_LSP_AGL",30.38198419862
"PI_374116_LSP_AGL",28.5557816940379
"PI_374117_LSP_AGL",29.4400023197658
"PI_374118_AGL",29.3744133121174
"PI_374120_LSP_AGL",28.7290233687153
"PI_374121_AGL",29.6489528638622
"PI_379368_LSP_AGL",29.8425635341776
"PI_383682_LSP_AGL",31.8591782717434
"PI_420818_AGL",29.1995303340725
"PI_420924_LSP_AGL",30.1853644721308
"PI_420925_LSP_AGL",29.6028280307646
"PI_420929_LSP_AGL",30.5708603399905
"PI_426202_LSP_AGL",29.7692940684632
"PI_426778_LSP_AGL",28.7189440826506
"PI_426797_LSP_AGL",27.5452438360633
"PI_426807_LSP_AGL",27.6260885480893
"PI_431618_LSP_AGL",29.7378988809716
"PI_431622_LSP_AGL",28.7388080618678
"PI_431630_LSP_AGL",28.9153113009294
"PI_431633_LSP_AGL",31.345765952971
"PI_431636_LSP_AGL",31.0300675629328
"PI_431643_LSP_AGL",30.8727549478608
"PI_431662_LSP_AGL",29.7546275499098
