"Name","Essential.AA_Ro16","Essential.AA_Ro17","Essential.AA_Su16","Essential.AA_Su17","Perc.Essential.AA_Ro16","Perc.Essential.AA_Ro17","Perc.Essential.AA_Su16","Perc.Essential.AA_Su17"
"ILL_28_AGL",9.7179,9.7385,10.1029,9.8293,35.5160441488195,36.4429359418619,34.5458524392287,35.678169430742
"ILL_3025_AGL",9.6638,9.8671,9.6612,10.2665,35.7951662190944,35.8658868602128,35.6319083569682,35.4775727417237
"ILL_313_AGL",10.5904,10.6707,10.8149,10.7905,35.5609281085256,36.3003306617317,34.9468602468115,35.4335233541743
"ILL_3347_AGL",9.9182,9.7702,9.6552,10.1933,35.5147348444158,35.9518395042648,34.8816289076189,35.3073411337642
"ILL_358_AGL",10.8895,10.7102,10.8909,11.063,35.3148157156524,36.2819027487009,35.0584258812168,35.3736406744109
"ILL_3597_AGL",9.7064,9.6276,9.7712,10.2538,35.4980159818604,35.7338777025146,35.1094295148882,35.222748554685
"ILL_4164_AGL",10.3977,10.3624,10.1315,10.0254,35.4228343854652,35.9558359183617,35.584082607474,35.4834941972202
"ILL_4400_AGL",10.4777,10.6293,11.1346,10.945,35.3920154570051,36.0254194204372,35.0237169566804,35.5878250295075
"ILL_4605_AGL",10.1575,10.1378,10.0244,10.7971,35.7778130008277,36.1439511701202,35.3378714223772,35.689942979919
"ILL_4609_AGL",10.1933,10.1373,10.1255,10.3433,35.5294757351942,35.833383409744,35.1898769370853,35.3725932765637
"ILL_4665_AGL",10.4704,10.6081,10.7753,10.5179,35.1413487452635,35.6493305731799,34.737181450378,35.4601297317708
"ILL_4671_AGL",11.0758,10.6988,10.8938,10.7632,35.1675218451534,36.3036684390726,34.2051720023612,35.6024821709734
"ILL_4768_AGL",10.1114,10.2779,10.9302,10.3237,35.156757959591,36.1641936516761,35.1838022275156,35.0478680065182
"ILL_4782_AGL",10.288,9.6482,10.892,10.3322,35.325181896531,36.7068043904202,34.9449773813725,35.1109344044476
"ILL_4783_AGL",10.8815,10.1752,10.8488,10.1063,35.537926935211,36.7396751807159,34.7988978595509,36.0157230014825
"ILL_4804_AGL",10.813,10.8365,10.1585,10.1821,35.2450333284441,36.7317815583509,34.7671183180634,35.6630987573028
"ILL_4875_AGL",10.554,10.039,10.5086,10.3262,36.170344019247,37.1148122816422,35.7537527729011,35.8144455042053
"ILL_4956_AGL",11.1832,11.5064,11.1334,11.2755,35.4973765485981,36.6969434097056,34.6409702732472,35.5755730489517
"ILL_5058_AGL",11.2491,10.4337,10.5278,10.294,35.8916845873562,37.0069412177811,35.0136525241372,35.7058619493583
"ILL_5151_AGL",11.1694,11.0465,11.5949,10.7945,35.5979793794719,36.7060426323747,35.0592489787526,35.5528987082452
"ILL_5209_AGL",10.5279,10.2712,10.7716,10.4866,35.3995601912563,36.9696358898311,35.1201635437078,35.8115884122707
"ILL_5480_AGL",11.3306,10.8359,11.1977,10.7571,35.4561015373928,36.9183332765494,35.1804783642744,36.2872457774344
"ILL_5639_AGL",9.941,9.4931,10.0865,9.8707,35.2846803934166,36.949202679402,34.768685604768,36.0742191782824
"ILL_5722_AGL",10.8062,10.6624,10.702,9.729,35.360717803396,36.8627396748788,35.0441736032431,36.2515137401025
"ILL_5883_AGL",10.6062,10.939,11.2928,10.7041,35.290242295586,37.049204757905,34.7486807083404,35.8484626230354
"ILL_5888_AGL",9.4611,9.678,9.229,9.5848,35.5013133208255,37.0530603806381,35.5028447668984,36.012098213447
"ILL_5945_AGL",10.8498,10.5831,11.175,10.1044,35.5698493253078,36.4459428744602,35.2269180938691,35.868345946867
"ILL_6002_AGL",10.8604,10.7448,10.9764,10.8466,35.7752501045877,36.9510119160204,35.191484586653,35.9019849925691
"ILL_618_AGL",11.0489,10.1165,10.7255,10.5605,35.0969311745778,36.6059733248421,35.0367991741828,35.0252561266421
