"Name","Protein_lsm","Histidine_lsm","Serine_lsm","Arginine_lsm","Glycine_lsm","Aspartic.acid_lsm","Glutamic.acid_lsm","Threonine_lsm","Alanine_lsm","Proline_lsm","Cysteine_lsm","Lysine_lsm","Tyrosine_lsm","Methionine_lsm","Valine_lsm","Isoleucine_lsm","Leucine_lsm","Phenylalanine_lsm","Tryptophan_lsm"
"PI_420818_AGL",29.1367,1.0113,1.3643,2.0847,1.1067,3.208,4.5083,1.0295,1.1319,1.2142,0.2441,1.8309,0.8276,0.2545,1.3504,1.1939,2.0349,1.3839,0.2204
"PI_420924_LSP_AGL",30.3079,0.8935,1.4783,2.2479,1.1642,3.4448,4.8764,1.1247,1.1718,1.2351,0.2586,1.9685,0.8786,0.2642,1.445,1.2787,2.1662,1.4862,0.2248
"PI_420925_LSP_AGL",29.6158,0.9251,1.4395,2.1824,1.1376,3.3683,4.6821,1.0676,1.1632,1.2017,0.2537,1.8897,0.8449,0.2555,1.4032,1.227,2.1081,1.4384,0.2226
"PI_420929_LSP_AGL",30.7659,1.0058,1.4833,2.2525,1.1611,3.4576,4.8648,1.1056,1.183,1.2337,0.2576,1.9664,0.8805,0.2632,1.4451,1.2778,2.1645,1.4823,0.2252
"PI_426202_LSP_AGL",29.8136,1.0433,1.4128,2.1443,1.127,3.4194,4.6247,1.0881,1.1626,1.1992,0.2614,1.9074,0.8466,0.2677,1.3834,1.2018,2.0835,1.4065,0.2256
"PI_426778_LSP_AGL",28.5657,0.8788,1.3708,1.9581,1.104,3.2143,4.4348,1.0806,1.1489,1.1809,0.2472,1.8584,0.81,0.2622,1.3453,1.1916,2.0213,1.3778,0.2166
"PI_426784_LSP_AGL",27.3531,1.0131,1.2863,1.8945,1.0157,2.9593,4.1546,0.9909,1.0228,1.1058,0.2296,1.7352,0.7652,0.2283,1.2603,1.1077,1.8962,1.3007,0.1997
"PI_426797_LSP_AGL",27.1713,0.9688,1.2826,1.8834,1.02,2.9594,4.1545,0.9821,1.0467,1.1182,0.2354,1.7344,0.7609,0.2316,1.2589,1.115,1.8923,1.3017,0.1999
"PI_426807_LSP_AGL",27.2673,0.8607,1.2975,1.8429,1.0557,3.107,4.1984,1.0244,1.0973,1.1271,0.2593,1.7643,0.7873,0.2522,1.2806,1.1319,1.9225,1.3122,0.2131
"PI_431618_LSP_AGL",29.7763,0.9896,1.4282,2.1671,1.152,3.4131,4.6521,1.1035,1.1787,1.2329,0.2619,1.8886,0.8602,0.2715,1.3911,1.2318,2.1053,1.4295,0.227
"PI_431622_LSP_AGL",28.5893,0.9479,1.3728,2.037,1.1035,3.2676,4.4139,1.0757,1.1288,1.1551,0.2762,1.8395,0.8365,0.2662,1.3421,1.1674,2.0018,1.3598,0.2221
"PI_431630_LSP_AGL",28.799,0.8655,1.3901,2.0374,1.1022,3.3508,4.5018,1.0955,1.1446,1.1814,0.2668,1.8824,0.8299,0.2693,1.3604,1.1991,2.0394,1.3856,0.2214
"PI_431633_LSP_AGL",31.6866,1.0635,1.5174,2.3665,1.227,3.5971,4.9856,1.1695,1.2573,1.284,0.2699,2.0022,0.9187,0.2739,1.4976,1.313,2.2341,1.5248,0.2447
"PI_431636_LSP_AGL",31.3115,0.9819,1.4933,2.2994,1.1981,3.5189,4.9178,1.142,1.2337,1.2784,0.2564,1.9814,0.8919,0.2644,1.4777,1.2985,2.2051,1.5042,0.239
"PI_431643_LSP_AGL",31.1246,0.9083,1.5106,2.2456,1.2275,3.6362,4.9108,1.2028,1.2641,1.2533,0.2832,2.0085,0.9231,0.2935,1.481,1.3036,2.2122,1.5054,0.2426
"PI_431662_LSP_AGL",29.7962,0.9141,1.443,2.1524,1.1634,3.472,4.6782,1.1305,1.2018,1.2027,0.282,1.9385,0.8724,0.2785,1.4211,1.232,2.1125,1.4328,0.2334
"PI_431663_LSP_AGL",28.1331,0.8326,1.363,2.0066,1.0834,3.2538,4.4005,1.0869,1.1324,1.1517,0.2753,1.8474,0.8269,0.2653,1.3344,1.1633,1.9926,1.3571,0.2203
"PI_431679_LSP_AGL",30.4387,1.0277,1.4506,2.2285,1.1398,3.4956,4.7192,1.0956,1.1951,1.2138,0.2784,1.9412,0.8764,0.2679,1.4306,1.2438,2.1226,1.445,0.2325
"PI_431684_LSP_AGL",27.9469,0.7918,1.3781,1.9332,1.0954,3.2546,4.3641,1.0899,1.1289,1.138,0.2729,1.8522,0.8349,0.2683,1.3415,1.1854,1.9921,1.3596,0.2184
"PI_431705_LSP_AGL",28.2478,0.937,1.3455,1.991,1.0765,3.1774,4.3117,1.0674,1.108,1.152,0.2661,1.8167,0.824,0.2612,1.3106,1.1499,1.9567,1.3347,0.2173
"PI_431710_LSP_AGL",28.7853,0.922,1.3938,2.0583,1.0979,3.3224,4.458,1.0788,1.1283,1.1635,0.276,1.8661,0.8431,0.2695,1.3554,1.192,2.0221,1.3797,0.2212
"PI_431714_LSP_AGL",29.6693,0.894,1.4575,2.1278,1.1549,3.4502,4.6219,1.1511,1.1808,1.1896,0.2903,1.9385,0.8852,0.2794,1.4114,1.2376,2.0979,1.4279,0.2328
"PI_431717_LSP_AGL",28.3812,0.9042,1.3828,1.9941,1.1114,3.2672,4.3863,1.0846,1.1378,1.1589,0.2767,1.8531,0.8394,0.2725,1.3381,1.177,2,1.3616,0.2215
"PI_431728_LSP_AGL",28.9707,0.8741,1.4192,2.0489,1.1221,3.3341,4.5082,1.0939,1.1544,1.177,0.2768,1.8945,0.8451,0.2688,1.3787,1.2142,2.0525,1.4015,0.2255
"PI_431731_LSP_AGL",28.794,0.8315,1.4269,2.0239,1.1372,3.3479,4.4979,1.1256,1.1636,1.1703,0.2865,1.9011,0.8595,0.2764,1.3835,1.2178,2.0573,1.4019,0.2275
"PI_431739_LSP_AGL",31.037,0.9997,1.4802,2.2666,1.1764,3.5842,4.7962,1.1424,1.2179,1.2393,0.282,1.9696,0.8919,0.2801,1.4546,1.2681,2.166,1.4668,0.24
"PI_431753_LSP_AGL",29.0396,0.912,1.4143,2.0535,1.116,3.3141,4.4942,1.0981,1.1467,1.1732,0.2772,1.896,0.8527,0.2676,1.3702,1.2027,2.0407,1.3931,0.2244
"PI_431756_LSP_AGL",29.0545,0.9216,1.4111,2.0755,1.1125,3.3584,4.5057,1.0944,1.1335,1.1743,0.277,1.8824,0.8548,0.2681,1.3691,1.2079,2.0442,1.3944,0.2223
"PI_431809_LSP_AGL",28.1912,0.8091,1.3465,1.9329,1.093,3.2291,4.3625,1.0971,1.1338,1.1659,0.2606,1.8387,0.8149,0.2719,1.3244,1.1699,1.9885,1.352,0.2186
"PI_431824_LSP_AGL",29.7073,0.8618,1.4364,2.0822,1.1749,3.414,4.6803,1.1587,1.222,1.2242,0.2647,1.9398,0.8655,0.2755,1.408,1.2466,2.1211,1.4425,0.2316
"PI_431863_LSP_AGL",28.6762,0.9193,1.3765,1.9963,1.1076,3.2267,4.4569,1.0746,1.131,1.1722,0.256,1.8576,0.8265,0.2572,1.3444,1.1869,2.0163,1.3736,0.2215
"PI_431873_LSP_AGL",27.423,0.8338,1.3301,1.875,1.057,3.0478,4.2509,1.0472,1.0896,1.1378,0.2528,1.8153,0.7958,0.2488,1.2939,1.147,1.937,1.3331,0.2099
"PI_431884_LSP_AGL",29.7055,0.8667,1.47,2.162,1.1664,3.4684,4.699,1.1269,1.2347,1.2092,0.277,1.9581,0.8923,0.2746,1.4432,1.2635,2.1287,1.4611,0.2326
"PI_431888_LSP_AGL",28.824,0.802,1.427,2.0702,1.1164,3.3948,4.5844,1.1219,1.1776,1.1691,0.2725,1.9171,0.8522,0.2692,1.3989,1.222,2.0696,1.4116,0.2261
"PI_431923_LSP_AGL",29.4936,0.9361,1.4027,2.0928,1.1037,3.4215,4.5252,1.0892,1.153,1.1885,0.2727,1.8782,0.8379,0.2716,1.3634,1.2015,2.0448,1.3834,0.2251
"PI_431980_LSP_AGL",32.6338,1.0365,1.6064,2.4423,1.2783,3.784,5.1776,1.2233,1.3535,1.3043,0.2937,2.1093,0.9721,0.2896,1.5758,1.3806,2.3355,1.5926,0.2545
"PI_432000_LSP_AGL",28.5218,0.8324,1.3758,1.9681,1.0951,3.3282,4.446,1.1037,1.146,1.1552,0.2659,1.8677,0.8268,0.2725,1.3462,1.1857,2.014,1.3612,0.2222
"PI_432001_LSP_AGL",31.3499,0.9713,1.5301,2.3206,1.2034,3.6579,4.9717,1.1681,1.2478,1.2682,0.2792,2.0217,0.9126,0.2811,1.4913,1.3167,2.2331,1.5185,0.2384
"PI_432002_LSP_AGL",29.4757,0.9487,1.4165,2.1391,1.1311,3.414,4.5794,1.1227,1.1735,1.1796,0.2818,1.9028,0.8623,0.2711,1.39,1.2094,2.0669,1.4061,0.2295
"PI_432005_LSP_AGL",29.7183,0.9322,1.4204,2.1466,1.1449,3.4146,4.6862,1.1118,1.213,1.2079,0.2668,1.9111,0.865,0.2654,1.413,1.2348,2.1053,1.4261,0.2328
"PI_432028_LSP_AGL",28.5488,0.9102,1.3784,2.0424,1.0963,3.2376,4.4171,1.0954,1.1502,1.1571,0.2713,1.8631,0.833,0.2601,1.3467,1.168,2.0067,1.3664,0.2215
"PI_432033_LSP_AGL",27.8248,0.8377,1.3607,1.9874,1.0779,3.2315,4.3352,1.0732,1.1364,1.1388,0.2719,1.841,0.8215,0.265,1.3327,1.1579,1.9827,1.3494,0.2183
"PI_432085_LSP_AGL",31.3534,0.9388,1.5343,2.3116,1.2102,3.6034,4.9832,1.1727,1.2377,1.2594,0.279,2.0271,0.9276,0.2801,1.506,1.3263,2.2346,1.5327,0.2379
"PI_432106_LSP_AGL",31.0924,1.0647,1.4744,2.2639,1.1859,3.4574,4.849,1.1145,1.2251,1.2627,0.2606,1.9476,0.8911,0.2638,1.4473,1.2786,2.1739,1.4804,0.2383
"PI_432124_LSP_AGL",28.4862,0.855,1.3924,2.0241,1.0911,3.2792,4.4428,1.0855,1.1344,1.1569,0.2769,1.8744,0.8451,0.2671,1.356,1.193,2.0131,1.3782,0.2215
