"Name","DTF_Ro16","DTF_Ro17","DTF_Su16","DTF_Su17","REP_Ro16","REP_Ro17","REP_Su16","REP_Su17"
"PI_178952_AGL",46.7,44,47,48,48.7,35.5,46.7,39
"PI_178971_LSP_AGL",46.3,46,51,54,47.3,35.3,43.3,33
"PI_179324_LSP_AGL",47,45.7,49.7,49.3,45.7,35,43,36
"PI_179330_AGL",47,45.3,49.3,49.3,48.3,33.3,44,35.3
"PI_181771_LSP_AGL",47,47,50.7,52.7,48.7,32.7,43.7,34
"PI_181886_LSP_AGL",45.3,44.7,50,49.7,48.7,35.7,46.3,38
"PI_182217_LSP_AGL",45.3,44.7,48.3,47,50.7,36,47.7,41
"PI_193546_AGL",45.7,45,50,47.3,46,35.3,43.7,37.7
"PI_193547_LSP_AGL",49.7,49,52.3,53.3,44.3,30,40.7,32.3
"PI_193548_LSP_AGL",44,38.7,44,41.7,44,34,45.7,38.7
"PI_193550_AGL",42.7,38.7,44.7,40.7,49.7,33.7,47.3,41.3
"PI_207492_LSP_AGL",45.7,45.7,49.7,54,49.3,32.3,45.3,33
"PI_518731_LSP_AGL",46.3,45.7,49.7,51,49.3,35,47.7,37
"PI_209858_LSP_AGL",52.3,54,58.3,59.7,44.3,NA,38,29
"PI_211052_LSP_AGL",48,45.7,49.7,48.3,46,34,44,38.7
"PI_212100_LSP_AGL",47.3,45.7,50.3,50.5,46.3,32.3,44,33
"PI_212610_LSP_AGL",48,46,51,53.7,44.7,33.5,43.3,31
"PI_217949_LSP_AGL",44,40.3,45,45,47.3,34,48,36
"PI_238758_LSP_AGL",49.3,45.3,49,50.7,48.7,36,52,42
"PI_244046_AGL",41.3,37.7,43.3,41.7,48.7,35,50.3,40.3
"PI_250156_LSP_AGL",44.3,42.3,49,49,46.7,33.7,46.3,36
"PI_250158_LSP_AGL",43.3,40,45.7,44.3,47,36.7,44.3,37
"PI_251248_LSP_AGL",41.3,35.7,43,38,51.3,38,51.3,41.5
"PI_273664_LSP_AGL",47,44.3,49,51.7,46.3,33,47.5,36
"PI_280686_AGL",45.3,40,45.7,44.7,47.7,38.7,48.7,41.7
"PI_283604_LSP_AGL",49,46.3,53.3,54,48.3,36,43.7,36.5
"PI_289066_AGL",54.3,54.5,56.7,59.3,40.3,NA,39,28
"PI_289073_LSP_AGL",49,48,52,54,45.3,34,42.7,34
"PI_289079_LSP_AGL",49.3,49,55,55.7,47.3,33,43.3,34
"PI_290716_LSP_AGL",50.7,46,51,52,45.3,35,43.7,33.7
"PI_297285_LSP_AGL",48,48.3,52,54,50,34,46,37
"PI_297287_AGL",47,45.3,49.7,52,50.3,37,47.7,38
"PI_297754_LSP_AGL",47,46.3,49,49.5,51,34.3,45.7,39
"PI_297767_AGL",49,48.3,53.7,54.5,47.7,34,43.7,NA
"PI_297772_LSP_AGL",48.7,44,53.7,51,43,36,40.3,35
"PI_297783_AGL",43,38.3,44,42.3,45,33.3,47,38.7
